Date;Temp;Origine;Site
11/6/1893 00:00:00;18.90;11;19
12/6/1893 00:00:00;19.00;11;19
13/6/1893 00:00:00;19.60;11;19
14/6/1893 00:00:00;20.60;11;19
15/6/1893 00:00:00;20.70;11;19
16/6/1893 00:00:00;21.10;11;19
17/6/1893 00:00:00;21.30;11;19
18/6/1893 00:00:00;22.00;11;19
19/6/1893 00:00:00;22.70;11;19
20/6/1893 00:00:00;23.00;11;19
21/6/1893 00:00:00;22.30;11;19
22/6/1893 00:00:00;22.10;11;19
23/6/1893 00:00:00;22.00;11;19
24/6/1893 00:00:00;21.40;11;19
25/6/1893 00:00:00;21.10;11;19
26/6/1893 00:00:00;20.40;11;19
27/6/1893 00:00:00;20.50;11;19
28/6/1893 00:00:00;21.20;11;19
29/6/1893 00:00:00;21.20;11;19
30/6/1893 00:00:00;21.50;11;19
1/7/1893 00:00:00;22.10;11;19
2/7/1893 00:00:00;21.10;11;19
3/7/1893 00:00:00;23.60;11;19
4/7/1893 00:00:00;23.80;11;19
5/7/1893 00:00:00;23.70;11;19
6/7/1893 00:00:00;23.20;11;19
7/7/1893 00:00:00;23.60;11;19
8/7/1893 00:00:00;24.40;11;19
9/7/1893 00:00:00;24.60;11;19
10/7/1893 00:00:00;23.80;11;19
11/7/1893 00:00:00;23.40;11;19
12/7/1893 00:00:00;22.80;11;19
13/7/1893 00:00:00;22.20;11;19
14/7/1893 00:00:00;21.80;11;19
15/7/1893 00:00:00;21.00;11;19
16/7/1893 00:00:00;20.50;11;19
17/7/1893 00:00:00;20.60;11;19
18/7/1893 00:00:00;20.10;11;19
19/7/1893 00:00:00;20.30;11;19
20/7/1893 00:00:00;20.90;11;19
21/7/1893 00:00:00;21.20;11;19
22/7/1893 00:00:00;21.20;11;19
23/7/1893 00:00:00;21.80;11;19
24/7/1893 00:00:00;21.50;11;19
25/7/1893 00:00:00;21.60;11;19
26/7/1893 00:00:00;21.40;11;19
27/7/1893 00:00:00;20.90;11;19
28/7/1893 00:00:00;20.60;11;19
29/7/1893 00:00:00;20.20;11;19
20/8/1893 00:00:00;23.60;11;19
21/8/1893 00:00:00;23.60;11;19
22/8/1893 00:00:00;23.10;11;19
23/8/1893 00:00:00;23.00;11;19
24/8/1893 00:00:00;22.80;11;19
25/8/1893 00:00:00;22.20;11;19
26/8/1893 00:00:00;21.80;11;19
27/8/1893 00:00:00;21.10;11;19
28/8/1893 00:00:00;20.80;11;19
29/8/1893 00:00:00;20.50;11;19
30/8/1893 00:00:00;20.20;11;19
31/8/1893 00:00:00;20.00;11;19
1/9/1893 00:00:00;19.80;11;19
2/9/1893 00:00:00;19.60;11;19
3/9/1893 00:00:00;19.50;11;19
